Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"XMD15-27","332","NCI-H2347","687820","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2764013625807138",".98223685479149236","10.24",".040682814490520247",".81050852939282425","GDSC1"
"XMD15-27","332","NCI-H2405","687821","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2119112079808234",".98404855133220082","10.24",".029549736306735019",".7362742765604865","GDSC1"
"XMD15-27","332","NCI-H2030","722045","LUAD","lung","lung_NSCLC_adenocarcinoma","4.086865940216871",".96227469212920158","10.24",".024697415921591161","-.55875897887469794","GDSC1"
"XMD15-27","332","NCI-H2122","722046","LUAD","lung","lung_NSCLC_adenocarcinoma","4.5815924799098271",".98117202401514669","10.24",".025666933020501145",".010717947615673811","GDSC1"
"XMD15-27","332","NCI-H1734","722058","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0443685724134699",".98447991768430199","10.24",".030645962387726721",".54341689474666954","GDSC1"
"XMD15-27","332","NCI-H650","722066","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2877795895029278",".97762546627163482","10.24",".026601077770165949",".82360594215866034","GDSC1"
"XMD15-27","332","NCI-H2087","724834","LUAD","lung","lung_NSCLC_adenocarcinoma","4.4788618397249298",".97525439144661386","10.24",".026586531446938767","-.10753471225818771","GDSC1"
"XMD15-27","332","Calu-6","724859","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0862454244801834",".98183256262905849","10.24",".028290330774301226",".59162110271344803","GDSC1"
"XMD15-27","332","NCI-H1355","724866","LUAD","lung","lung_NSCLC_adenocarcinoma","5.6296108920555739",".97828927661218423","10.24",".036099750202469492","1.2170860244616977","GDSC1"
"XMD15-27","332","NCI-H1792","724868","LUAD","lung","lung_NSCLC_adenocarcinoma","3.9456401426818042",".98179795539531467","10.24",".042228397989517996","-.72132319702102121","GDSC1"
"XMD15-27","332","NCI-H2009","724873","LUAD","lung","lung_NSCLC_adenocarcinoma","5.1079202779836619",".98443867204826363","10.24",".044932032954170198",".61657090419964011","GDSC1"
"XMD15-27","332","NCI-H2291","724874","LUAD","lung","lung_NSCLC_adenocarcinoma","6.0294651040324991",".98107967387010264","10.24",".030813234764375832","1.6773559501911159","GDSC1"
"XMD15-27","332","SW1573","724878","LUAD","lung","lung_NSCLC_adenocarcinoma","5.5512433045597867",".9803976889923729","10.24",".032440231591783754","1.1268775369783617","GDSC1"
"XMD15-27","332","LXF-289","753592","LUAD","lung","lung_NSCLC_adenocarcinoma","4.7362485720582059",".98408654475424595","10.24",".020346621356900067",".18874170206056695","GDSC1"
"XMD15-27","332","NCI-H1563","753600","LUAD","lung","lung_NSCLC_adenocarcinoma","4.0520445227460762",".95374774114665017","10.24",".015031452991539931","-.59884171591486868","GDSC1"
"XMD15-27","332","PC-14","753608","LUAD","lung","lung_NSCLC_adenocarcinoma","4.3464549182989369",".9780039852846274","10.24",".024050775757335364","-.25994757190894346","GDSC1"
"XMD15-27","332","NCI-H23","905942","LUAD","lung","lung_NSCLC_adenocarcinoma","4.7631158576234176",".98776336107189922","10.24",".037973854553849426",".2196684827752457","GDSC1"
"XMD15-27","332","NCI-H522","905944","LUAD","lung","lung_NSCLC_adenocarcinoma","4.8848611400094946",".98112857933509301","10.24",".029438402696641022",".35980878992544374","GDSC1"
"XMD15-27","332","A549","905949","LUAD","lung","lung_NSCLC_adenocarcinoma","5.3450346595318567",".98104914452032999","10.24",".033763165185070498",".88951192999246742","GDSC1"
"XMD15-27","332","NCI-H322M","905967","LUAD","lung","lung_NSCLC_adenocarcinoma","5.3938572703765129",".9697946856340578","10.24",".018866348503220425",".94571136167103864","GDSC1"
"XMD15-27","332","EKVX","905970","LUAD","lung","lung_NSCLC_adenocarcinoma","6.3504527903741463",".9674705926753473","10.24",".034488215218022464","2.0468430635619601","GDSC1"
"XMD15-27","332","HOP-62","905972","LUAD","lung","lung_NSCLC_adenocarcinoma","4.6854976878178709",".98219322227327122","10.24",".025877778563424825",".13032264576374517","GDSC1"
"XMD15-27","332","ABC-1","906791","LUAD","lung","lung_NSCLC_adenocarcinoma","5.1469349099867339",".98018290401921293","10.24",".026908131790750672",".66148042681197372","GDSC1"
"XMD15-27","332","COR-L105","906805","LUAD","lung","lung_NSCLC_adenocarcinoma","5.5962650250498509",".97714721086759249","10.24",".037716717715918634","1.178701785230543","GDSC1"
"XMD15-27","332","LC-2-ad","907786","LUAD","lung","lung_NSCLC_adenocarcinoma","4.5889502856384654",".98116480787937643","10.24",".026186211286012284",".019187476245891857","GDSC1"
"XMD15-27","332","NCI-H441","908460","LUAD","lung","lung_NSCLC_adenocarcinoma","6.0428368009434825",".9768963953324401","10.24",".035866458021659949","1.6927480350053927","GDSC1"
"XMD15-27","332","NCI-H1793","908463","LUAD","lung","lung_NSCLC_adenocarcinoma","6.1354591538979326",".97788723792712062","10.24",".034512825593589633","1.7993651025222126","GDSC1"
"XMD15-27","332","NCI-H358","908465","LUAD","lung","lung_NSCLC_adenocarcinoma","3.8892012490372161",".95181428198511653","10.24",".058361479814870325","-.78628968882715022","GDSC1"
